教师编号,姓名,年龄,职称,入职年,入职月,特征1,特征2,特征3,特征4
8,于6,70,教师,2004,8,50.55,35.23,94.5,93.9
47,王10,48,教授,2006,4,63.56,0.54,110.87,96.31
25,于7,70,副教授,2009,1,48.4,8.02,75.7,16.52
6,于2,75,教授,2007,7,70.08,90.99,33.24,33.46
24,于9,43,副教授,2001,2,96.8,45.27,10.02,29.39
3,张1,68,教授,2001,1,64.89,94.08,107.64,55.75
4,李9,58,教授,2010,8,44.44,34.96,77.4,49.05
10,苏5,28,教师,2018,8,45.69,19.06,100.81,9.76
49,王9,30,副教授,2011,7,87.33,107.76,35.66,97.79
27,李8,29,教授,2005,2,17.7,112.67,63.09,88.45
43,张10,61,院士,1999,5,77.6,75.86,20.01,29.31
19,王6,32,副教授,2018,4,28.9,23.1,10.01,90.26
13,张4,34,副教授,2015,8,90.64,90.04,44.96,28.01
7,李5,24,副教授,2003,0,74.96,69.29,38.4,39.15
22,李11,77,副教授,2004,7,85.18,88.49,39.94,52.02
16,于10,29,教师,2017,7,30.99,15.87,57.26,22.74
48,李4,44,教授,1995,3,73.69,17.33,3.17,56.19
26,王1,72,教授,2011,3,30.55,80.15,57.47,48.8
42,苏2,34,副教授,2015,6,10.05,18.82,88.11,55.1
52,张5,55,教师,2014,1,79.26,45.8,103.2,100.06
51,于3,33,副教授,2013,4,15.35,3.51,56.08,34.84
30,于5,77,教师,2007,11,63.01,66.91,91.92,66.67
20,李7,58,副教授,2000,1,51.69,81.76,93.98,23.52
14,李10,39,教师,2011,8,54.31,45.85,97.61,44.51
15,张3,76,教授,2000,6,40.21,66.32,109.68,110.04
21,王2,66,教授,2003,0,38.44,12.72,14.52,22.22
46,苏4,41,教授,1999,2,61.41,25.71,11.49,16.99
11,李2,27,教师,2005,10,81.62,48.78,62.6,39.3
18,王8,36,副教授,2016,10,94.3,88.53,78.83,90.87
44,于1,78,院士,2007,2,61.22,32.4,79.69,11.48
45,张11,25,副教授,2011,1,42.05,67.14,70.38,69.87
9,王3,35,副教授,2010,10,103.13,64.04,2.6,65.43
40,李3,25,教师,2013,3,87.31,17.29,17.82,14.79
50,苏7,32,教师,1999,7,57.37,42.74,83.81,109.65
35,王7,40,教师,2000,3,55.1,54.75,44.66,99.92
23,苏3,50,教师,2012,4,92.37,90.78,98.59,79.57
5,苏6,30,教师,2009,7,75.09,51.47,48.29,39.79
17,张2,44,教师,1997,3,99.46,27.66,58.58,4.75
37,于4,26,教授,2004,9,26.1,29.94,64.86,99.66
38,王5,54,副教授,2015,0,23.69,43.43,78.05,18.1
33,李6,72,副教授,1996,1,99.06,20.82,96.63,105.74
34,于8,48,教授,2003,6,56.67,48.31,71.8,36.52
12,李1,54,副教授,2017,0,60.87,40.22,0.81,33.66
28,苏1,60,副教授,1998,11,18.49,4.24,77.02,3.64
41,王12,58,教师,2016,8,66.14,79.05,55.05,47.95
31,张6,77,教师,2000,7,21.63,51.32,30.74,0.9
29,张7,61,教授,2003,6,73.47,46.5,58.12,83.89
39,张8,27,教师,2017,12,62.16,6.37,14.19,42.96
36,张9,28,教师,2002,6,45.75,27,53.71,110.17
2,张12,76,教师,2001,1,103.27,98.15,62.7,50.29
1,王11,45,教师,2016,11,10.21,1.26,50.73,2.47
32,王4,29,院士,1997,10,9.04,63.11,7.27,5.24
